"","coefficient"
"AGE",0
"GENDER",0
"rna_median_A1CF",0
"rna_median_ABCG2",0
"rna_median_ABI1",0
"rna_median_ABI2",0
"rna_median_ABL1",0
"rna_median_ABL2",0
"rna_median_ACHE",0
"rna_median_ACSL3",0
"rna_median_ACSL6",0
"rna_median_ACTN4",0
"rna_median_ACVR1",0
"rna_median_ACVR1B",0
"rna_median_ACVR1C",0
"rna_median_ACVR2A",0
"rna_median_ACY1",0
"rna_median_ADAM28",0
"rna_median_ADAM9",0
"rna_median_ADAMTS18",0
"rna_median_ADAMTS8",0
"rna_median_ADAMTS9",0
"rna_median_ADARB1",0
"rna_median_ADPRH",0
"rna_median_ADRBK2",0
"rna_median_AFAP1L2",0
"rna_median_AFF1",0
"rna_median_AFF3",0
"rna_median_AFF4",0
"rna_median_AGAP2",0
"rna_median_AGFG1",0
"rna_median_AGRN",0
"rna_median_AGTR1",0
"rna_median_AHCYL1",0
"rna_median_AHI1",0
"rna_median_AHNAK",0
"rna_median_AHR",0
"rna_median_AHRR",0
"rna_median_AIF1",0
"rna_median_AIM2",0
"rna_median_AIMP1",0
"rna_median_AIMP2",0
"rna_median_AIP",0
"rna_median_AJAP1",0
"rna_median_AKAP12",0
"rna_median_AKAP13",0
"rna_median_AKAP9",0
"rna_median_AKIRIN2",0
"rna_median_AKR1B1",0
"rna_median_AKT1",0
"rna_median_AKT2",0
"rna_median_AKT3",0
"rna_median_AKTIP",0
"rna_median_ALB",0
"rna_median_ALDH1A1",0
"rna_median_ALDH1A2",0
"rna_median_ALDH2",0
"rna_median_ALK",0
"rna_median_ALOX15",0
"rna_median_ALOX15B",0
"rna_median_ALPL",0
"rna_median_AMH",0
"rna_median_ANAPC1",0
"rna_median_ANGPTL4",0
"rna_median_ANK1",0
"rna_median_ANP32A",0
"rna_median_ANP32C",0
"rna_median_ANP32D",0
"rna_median_ANXA1",0.0237169895698602
"rna_median_ANXA7",0
"rna_median_APAF1",0
"rna_median_APC",0
"rna_median_APITD1",0
"rna_median_APOB",0
"rna_median_APOBEC3B",0
"rna_median_AQP1",0
"rna_median_AR",0
"rna_median_ARAF",0
"rna_median_ARF1",0
"rna_median_ARG1",0
"rna_median_ARHGAP26",0
"rna_median_ARHGAP29",0
"rna_median_ARHGAP5",0
"rna_median_ARHGEF1",0
"rna_median_ARHGEF10",0
"rna_median_ARHGEF10L",0
"rna_median_ARHGEF12",0
"rna_median_ARHGEF2",0
"rna_median_ARHGEF5",0
"rna_median_ARID1A",0
"rna_median_ARID1B",0
"rna_median_ARID2",0
"rna_median_ARID3A",0
"rna_median_ARID5B",0
"rna_median_ARL11",0
"rna_median_ARL6IP5",0
"rna_median_ARMC10",0
"rna_median_ARMC5",0
"rna_median_ARNT",0
"rna_median_ARNTL",0
"rna_median_ASCL1",0
"rna_median_ASPSCR1",0
"rna_median_ASS1",0
"rna_median_ASXL1",0
"rna_median_ASXL2",0
"rna_median_ATF1",0
"rna_median_ATF3",0
"rna_median_ATF7IP",0
"rna_median_ATIC",0
"rna_median_ATM",0
"rna_median_ATMIN",0
"rna_median_ATP1A1",0
"rna_median_ATP2B3",0
"rna_median_ATR",0
"rna_median_ATRX",0
"rna_median_ATXN3",0
"rna_median_AURKA",0
"rna_median_AXIN1",0
"rna_median_AXIN2",0
"rna_median_AXL",0
"rna_median_AZGP1",0
"rna_median_B2M",0
"rna_median_BAALC",0
"rna_median_BAIAP2L1",0
"rna_median_BANP",0
"rna_median_BAP1",0
"rna_median_BARD1",0
"rna_median_BASP1",0
"rna_median_BATF2",0
"rna_median_BAX",0
"rna_median_BAZ1A",0
"rna_median_BBC3",0
"rna_median_BCAR4",0
"rna_median_BCKDHB",0
"rna_median_BCL10",0
"rna_median_BCL11A",0
"rna_median_BCL11B",0
"rna_median_BCL2",0
"rna_median_BCL2A1",0
"rna_median_BCL2L1",0
"rna_median_BCL2L11",0
"rna_median_BCL2L12",0
"rna_median_BCL3",0
"rna_median_BCL6",0
"rna_median_BCL6B",0
"rna_median_BCL7A",0
"rna_median_BCL9",0
"rna_median_BCL9L",0
"rna_median_BCLAF1",0
"rna_median_BCOR",0
"rna_median_BCORL1",0
"rna_median_BCR",0
"rna_median_BECN1",0
"rna_median_BEX2",0
"rna_median_BHLHE41",0
"rna_median_BIK",0
"rna_median_BIN1",0
"rna_median_BIRC2",0
"rna_median_BIRC3",0
"rna_median_BIRC5",0
"rna_median_BIRC6",0
"rna_median_BLCAP",0
"rna_median_BLID",0
"rna_median_BLK",0
"rna_median_BLM",0
"rna_median_BLNK",0
"rna_median_BMF",0
"rna_median_BMI1",0
"rna_median_BMP10",0
"rna_median_BMP2",0
"rna_median_BMP4",0
"rna_median_BMP5",0
"rna_median_BMP7",0
"rna_median_BMPR1A",0
"rna_median_BMPR2",0
"rna_median_BNIP3L",0
"rna_median_BOC",0
"rna_median_BRAF",0
"rna_median_BRCA1",0
"rna_median_BRCA2",0
"rna_median_BRD3",0
"rna_median_BRD4",0
"rna_median_BRD7",0
"rna_median_BRF1",0
"rna_median_BRF2",0
"rna_median_BRIP1",0
"rna_median_BRMS1",0
"rna_median_BRSK1",0
"rna_median_BTG1",0
"rna_median_BTG2",0
"rna_median_BTG3",0
"rna_median_BTG4",0
"rna_median_BTK",0
"rna_median_BUB1B",0
"rna_median_C2orf40",0
"rna_median_CABIN1",0
"rna_median_CABLES1",0
"rna_median_CACNA1A",0
"rna_median_CACNA1D",0
"rna_median_CACNA2D3",0
"rna_median_CADM1",0
"rna_median_CADM2",0
"rna_median_CADM3",0
"rna_median_CADM4",0
"rna_median_CALR",0
"rna_median_CAMK1D",0
"rna_median_CAMK2N1",0
"rna_median_CAMTA1",0
"rna_median_CANT1",0
"rna_median_CAPG",0
"rna_median_CARD11",0
"rna_median_CARS",0
"rna_median_CASC1",0
"rna_median_CASC2",0
"rna_median_CASP2",0
"rna_median_CASP3",0
"rna_median_CASP5",0
"rna_median_CASP8",0
